DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
LCS_2000,LCS_2000_489,CCCNCOCCNc1cccc(N)c1[C@@H](O)c1nc(CN)c[nH]1,-5.631,-6.6499443,-12.615771,-6.6499443,2.488718,No_8_447,No_8_447_out,3.809
LCS_2000,LCS_2000_490,NCCc1ccc(NC(=O)NC(=O)n2nc([C@@H](N)CC(N)=O)nc2C(=O)O)cc1,-7.092,-6.5255098,-12.788787,-6.5255098,2.9200804,No_8_457,No_8_457_out,3.474
LCS_2000,LCS_2000_491,C[C@@](CN)(CO)c1ccc(CNCc2cc(O)cc(CN)n2)cc1,-6.415,-6.6323733,-13.554932,-6.6323733,1.5975115,No_8_458,No_8_458_out,3.269
LCS_2000,LCS_2000_492,CCc1c(-c2cc(O)nc(CN(C(=O)CN)c3cccc(CNC)c3)c2)c(=O)c1=O,-7.167,-6.673111,-11.062067,-6.673111,1.5613141,No_8_464,No_8_464_out,3.059
LCS_2000,LCS_2000_493,C[C@@](CN)(OCN)c1ncc(Oc2cccc(C(=O)CO)c2C(N)=O)c(N)n1,-7.167,-6.673111,-11.062067,-6.673111,1.5613141,No_8_464,No_8_464_out,3.808
LCS_2000,LCS_2000_494,CCC(N)(N)c1cccc(Oc2cnc(CNC(N)N)nc2N)c1C(N)=O,-6.668,-6.5053191,-14.705922,-6.5053191,1.46005,No_8_467,No_8_467_out,3.351
LCS_2000,LCS_2000_495,CC(=O)NCCN[C@@H](N)c1cccc(Oc2cnc(CO)nc2N)c1C(N)=O,-6.818,-7.0714946,-11.340984,-7.0714946,3.9369864,No_8_468,No_8_468_out,3.516
LCS_2000,LCS_2000_496,NC(=O)c1c(Oc2cnc(CO)nc2N)cccc1[C@H](N)NCCC(=O)O,-6.529,-6.7799349,-13.465838,-6.7799349,1.9143598,No_8_473,No_8_473_out,3.495
LCS_2000,LCS_2000_497,COCc1ncc(Oc2cccc(C(N)(N)CCN)c2C(N)=O)c(N)n1,-5.79,-6.3033004,-13.41181,-6.3033004,1.6612041,No_8_476,No_8_476_out,3.155
LCS_2000,LCS_2000_498,CNCNC[C@@H](Nc1nn[nH]n1)C(=O)Oc1cc(C(=O)O)ccc1CO,-6.675,-6.1712728,-11.693809,-6.1712728,1.5932081,No_8_487,No_8_487_out,3.51
LCS_2000,LCS_2000_499,CCOCCN[C@@H](N)c1cccc(Oc2cnc(CO)nc2N)c1C(N)=O,-6.23,-6.6504636,-11.645591,-6.6504636,2.5498226,No_8_491,No_8_491_out,3.517
